name,actual,text,amusement,anger,awe,contentment,disgust,excitement,fear,sadness
115084705,disgust,papa john 's extra found these ant things all over my pizza one day freakin disgusting called the health department and bitched out their managers for hours should have sued them think,1.7486908163486e-32,1.155557427372e-26,2.238882582421e-40,1.0845867945074e-39,1,5.8070111533552e-33,1.1438423143672e-35,3.7490431631634e-34
166199630,disgust,hanging out at one of our favorite moments from friday at the original size is disturbing and could probably be used to perform a remote exam update even though he is n't i 'd like to believe that this guy is part of the band they have a penchant for exposed ass cracks see the set page for links to some video from the festival,7.8851911666789e-09,0.00021011824719608,9.8962877823072e-12,2.3045465535887e-09,0.98798781633377,0.00029838088084944,0.011438298970461,6.5383756009396e-05
178643132,disgust,inflatable disgust another day of organizing this crap ugh,4.8455631478426e-16,2.4283592914287e-09,8.3923608351423e-25,1.6476456522199e-23,1,8.5530421720798e-13,3.7781405815906e-21,3.133842082479e-26
199033291,disgust,new year 's resolutions taken on my way home for christmas 0,3.2268809846414e-09,2.3039616048326e-10,2.2112934747187e-11,0.0032476186752319,0.99675172567368,3.1214813844826e-08,3.3609190430717e-10,6.2560155811298e-07
199443492,disgust,dsc0 jpg these marks on my tongue ran all the way down into my throat the doctor tells me they are they hurt like hell they spread and they 've swollen my tongue so much that i can not actually eat food i have two different to fix this stuff in addition to the rest of it,1.2339509839268e-12,2.7476967923157e-10,1.5355023432221e-14,4.8844815589118e-14,0.99994778633118,5.3796261878774e-14,9.6947142083081e-06,4.249979974702e-05
294691630,disgust,everytime i leave the country an animal attacks me this time it was a parasitic worm that wanted a free ride into america i hate it and pray for it 's it 's name is larva or for short,9.0165472744347e-13,1.1565247571978e-16,3.2894458332172e-16,9.1123775320426e-21,1,1.1607970292564e-19,8.1517054217883e-10,9.5011956744058e-14
412376518,anger,project pete day 0 my ups shipment was supposed to come today it didnt now im angry because the tracking info said it would come today im waiting dont mind the hammer,1.5098698326932e-18,0.9999994635582,1.2222354556635e-18,7.1382592016695e-15,4.4205576976708e-09,2.4529098370529e-12,1.0038110342947e-09,5.0551028607515e-07
436168721,disgust,the ugly truth in any respectable food fight there are lines which should n't be crossed this photograph displays a line which has been crossed,7.098211824599e-22,2.8855351944688e-17,3.1303706084997e-30,1.3873051168405e-28,1,1.3297398103598e-25,1.3714326165426e-17,7.0998817799558e-17
1067434772,disgust,day 0 not previous picture while disgusting and annoying it turns out that this is n't and is n't contagious i 've been to the twice already with plans to go again in two weeks i am now putting two different on it and ca n't for the life of me remember what he said that it is,4.3593970234863e-34,5.1109810199307e-34,5.525957435634e-39,5.9680858785279e-38,1,1.2699267332944e-40,3.5454358325752e-34,3.4807891534098e-34
1145751963,disgust,and naturally this image gets 0x more views than everything else surrounding it if it 's disgusting to look at it 'd probably be a wee bit worse to live with,2.1880897506158e-35,1.0053384578681e-32,7.1735270985716e-41,6.9845339746881e-40,1,4.0315356818625e-42,6.2105765474207e-34,1.6339433189883e-32
1184796201,anger,the angry guitarist part of a series i did on my boyfriend and his guitar,1.6142458036938e-08,0.99942952394485,1.1687089555672e-13,4.4251177655497e-07,3.4812984495147e-08,0.0004144033009652,2.5217639176844e-06,0.00015308390720747
